driver_id,phase,dow_name,distance_km,speeding_sum,harsh_brake_sum,rapid_accel_sum,swerve_sum,total_events_sum,rate_events_per_km
3e5ec44cde6d4304ab58443d90368274,pre,Wednesday,2.831150856237679,0,1,2,0,3,1.0596397551159478
3e7365e2a1894d95b115a245ed9af0ec,post,Friday,15.634111265184421,0,7,8,10,25,1.5990675501761626
3e7365e2a1894d95b115a245ed9af0ec,post,Saturday,2.326159734442032,0,1,2,1,4,1.7195723667529934
3e7365e2a1894d95b115a245ed9af0ec,post,Sunday,8.990712920054602,0,3,3,0,6,0.6673553091230903
3e7365e2a1894d95b115a245ed9af0ec,post,Thursday,4.12633379592621,0,2,2,0,4,0.9693835248978317
3e7365e2a1894d95b115a245ed9af0ec,post,Tuesday,2.171094255003969,0,1,0,0,1,0.4605972300351243
3e7365e2a1894d95b115a245ed9af0ec,post,Wednesday,4.984915121825115,0,0,1,0,1,0.20060522106419984
3e7365e2a1894d95b115a245ed9af0ec,pre,Friday,4.589625546227706,0,2,5,2,9,1.9609442882322414
3e7365e2a1894d95b115a245ed9af0ec,pre,Saturday,4.3135833841479965,0,2,3,2,7,1.6227807316126832
3e7365e2a1894d95b115a245ed9af0ec,pre,Thursday,10.619714657670519,0,4,5,2,11,1.0358093747890678
3e7365e2a1894d95b115a245ed9af0ec,pre,Tuesday,18.059785222399903,0,10,10,10,30,1.6611493232372674
3e7365e2a1894d95b115a245ed9af0ec,pre,Wednesday,10.175338649450678,0,1,4,5,10,0.9827682738146367
3ff40565ba464936b28420c370651622,post,Friday,5.655413408864373,0,2,3,0,5,0.8841086651884602
3ff40565ba464936b28420c370651622,post,Thursday,13.374589190100366,0,4,7,5,16,1.1962984262606673
3ff40565ba464936b28420c370651622,post,Wednesday,2.4627444679077555,0,2,3,1,6,2.436306355850775
3ff40565ba464936b28420c370651622,pre,Friday,15.299853483694463,0,3,5,5,13,0.8496813393575638
3ff40565ba464936b28420c370651622,pre,Monday,9.31144714622171,0,4,6,2,12,1.288736306135746
3ff40565ba464936b28420c370651622,pre,Saturday,6.962686847951714,0,9,4,2,15,2.1543407491337496
3ff40565ba464936b28420c370651622,pre,Sunday,5.031273542894086,0,4,3,4,11,2.186325173183207
3ff40565ba464936b28420c370651622,pre,Wednesday,2.604008577393645,0,0,0,1,1,0.3840233126270655
40eac30faba0435da0d7213f8cfc9c32,post,Sunday,12.830447080825934,0,9,8,2,19,1.480852528388817
40eac30faba0435da0d7213f8cfc9c32,post,Thursday,2.8537449657804785,0,1,0,1,2,0.7008334746034373
40eac30faba0435da0d7213f8cfc9c32,post,Wednesday,8.166616625016623,0,4,3,1,8,0.9795978392684396
40eac30faba0435da0d7213f8cfc9c32,pre,Monday,3.495022510495415,0,3,1,0,4,1.1444847602520893
40eac30faba0435da0d7213f8cfc9c32,pre,Saturday,1.4453287967738793,0,0,2,1,3,2.0756522714390697
40eac30faba0435da0d7213f8cfc9c32,pre,Sunday,5.034294992059698,0,1,1,2,4,0.7945501815664294
40eac30faba0435da0d7213f8cfc9c32,pre,Thursday,3.134012526229573,0,3,1,1,5,1.5953988563074872
40eac30faba0435da0d7213f8cfc9c32,pre,Tuesday,1.2953935046798677,0,1,0,1,2,1.5439323979737436
43b16573fdbc466184844ca9d858b626,post,Thursday,7.704598225105751,0,7,1,0,8,1.038340970711707
43b16573fdbc466184844ca9d858b626,post,Tuesday,1.9925411252572875,0,3,2,2,7,3.5131018934909677
